REGION,COUNTRY,SECTOR,SUBSECTOR,YEAR,QUARTER,"Dividend, USD"
Canada,Canada,Consumer Defensive,Food Retail,2015,15Q4,214508890.132857
Canada,Canada,Consumer Defensive,Food Retail,2016,16Q1,64090841.8721885
Canada,Canada,Consumer Defensive,Food Retail,2016,16Q2,145892765.663185
Canada,Canada,Consumer Defensive,Food Retail,2016,16Q3,150914808.542983
Canada,Canada,Consumer Defensive,Food Retail,2016,16Q4,225449900.328639
Canada,Canada,Consumer Defensive,Food Retail,2017,17Q1,69830630.8898848
Canada,Canada,Consumer Defensive,Food Retail,2017,17Q2,148202953.791897
Canada,Canada,Consumer Defensive,Food Retail,2017,17Q3,157505378.103415
Canada,Canada,Consumer Defensive,Food Retail,2017,17Q4,244500642.188418
Canada,Canada,Consumer Defensive,Food Retail,2018,18Q1,78148003.8564933
Canada,Canada,Consumer Defensive,Food Retail,2018,18Q2,156660537.769838
Canada,Canada,Consumer Defensive,Food Retail,2018,18Q3,168237410.821927
Canada,Canada,Consumer Defensive,Food Retail,2018,18Q4,251132477.478721
Canada,Canada,Consumer Defensive,Food Retail,2019,19Q1,96386875.8661942
Canada,Canada,Consumer Defensive,Food Retail,2019,19Q2,179273764.342652
Canada,Canada,Consumer Defensive,Food Retail,2019,19q3,188612731.406099
Canada,Canada,Consumer Defensive,Food Retail,2019,19Q4,274153307.620055
Canada,Canada,Consumer Defensive,Food Retail,2020,20Q1,103741134.904326
Canada,Canada,Consumer Defensive,Food Retail,2020,20Q2,178374435.275923
Canada,Canada,Consumer Defensive,Food Retail,2020,20Q3,184861684.954987
Canada,Canada,Consumer Defensive,Food Retail,2020,20Q4,281412614.572863
Canada,Canada,Consumer Defensive,Food Retail,2021,21Q1,115414116.091678
Canada,Canada,Consumer Defensive,Food Retail,2021,21q2,211237218.027425
Canada,Canada,Consumer Defensive,Food Retail,2021,21q3,207876699.023255
Canada,Canada,Consumer Defensive,Food Retail,2021,21Q4,313017142.474439
Canada,Canada,Consumer Defensive,Food Retail,2022,22q1,122344967.017729
Canada,Canada,Consumer Defensive,Food Retail,2022,22Q2,220003696.617771
Canada,Canada,Consumer Defensive,Food Retail,2022,22Q3,305313705.822264
Canada,Canada,Consumer Defensive,Food Retail,2022,22Q4,415843681.481164
Canada,Canada,Consumer Defensive,Food Retail,2023,23Q1,121376990.975473
Canada,Canada,Consumer Defensive,Food Retail,2023,23Q2,318932409.481096
Canada,Canada,Consumer Defensive,Food Retail,2023,23Q3,438323405.129573
Canada,Canada,Consumer Defensive,Food Retail,2023,23q4,459323521.766676
Canada,Canada,Consumer Defensive,Food Retail,2024,24q1,129820622.544514
Canada,Canada,Consumer Defensive,Food Retail,2024,24q2,350255173.652784
Canada,Canada,Consumer Defensive,Food Retail,2024,24q3,494122219.871946
Canada,Canada,Consumer Defensive,Food Retail,2024,24q4,486491234.006242
Canada,Canada,Consumer Defensive,Food Retail,2025,25Q1,130825362.759499
Canada,Canada,Consumer Defensive,Food Retail,2025,25q2,372959757.040151
Canada,Canada,Financial,Banks,2010,10Q1,2414401325.87475
Canada,Canada,Financial,Banks,2010,10Q2,2487600548.06685
Canada,Canada,Financial,Banks,2010,10Q3,2475722172.56718
Canada,Canada,Financial,Banks,2010,10Q4,2542762243.85488
Canada,Canada,Financial,Banks,2011,11Q1,2633825978.19063
Canada,Canada,Financial,Banks,2011,11Q2,2813278312.93391
Canada,Canada,Financial,Banks,2011,11Q3,2927953301.76621
Canada,Canada,Financial,Banks,2011,11Q4,2832474038.58513
Canada,Canada,Financial,Banks,2012,12Q1,2887305800.81093
Canada,Canada,Financial,Banks,2012,12Q2,3027826788.40241
Canada,Canada,Financial,Banks,2012,12Q3,3057237344.37559
Canada,Canada,Financial,Banks,2012,12Q4,3230271117.62668
Canada,Canada,Financial,Banks,2013,13Q1,3194935011.81672
Canada,Canada,Financial,Banks,2013,13Q2,3296337470.85887
Canada,Canada,Financial,Banks,2013,13Q3,3257222631.0287
Canada,Canada,Financial,Banks,2013,13Q4,3334088527.18127
Canada,Canada,Financial,Banks,2014,14Q1,3172538622.00351
Canada,Canada,Financial,Banks,2014,14Q2,3377022593.09131
Canada,Canada,Financial,Banks,2014,14Q3,3420432646.69503
Canada,Canada,Financial,Banks,2014,14Q4,3394930850.5647
Canada,Canada,Financial,Banks,2015,15Q1,3062402083.54667
Canada,Canada,Financial,Banks,2015,15Q2,3266934051.40495
Canada,Canada,Financial,Banks,2015,15Q3,3068609741.45997
Canada,Canada,Financial,Banks,2015,15Q4,3086198736.42236
Canada,Canada,Financial,Banks,2016,16Q1,2975646196.8193
Canada,Canada,Financial,Banks,2016,16Q2,3350234929.26457
Canada,Canada,Financial,Banks,2016,16Q3,3302357852.1931
Canada,Canada,Financial,Banks,2016,16Q4,3251697541.19128
